x,y,type,size
255.08,271.65,ice_hole,7
268.66,248.81,ice_hole,8
250.18,232.47,abyss,19
212.59,241.67,kelp_forest,16
262.01,227.38,corals,7
244.56,248.44,island,9
246.69,268.69,abyss,13
197.54,249.28,rocks,1
269.56,302.95,island,8
251.29,259.23,island,4
292.21,255.34,corals,3
245.95,229.5,abyss,3
265.21,245.0,abyss,13
265.69,232.31,abyss,8
214.22,202.29,ice_hole,7
304.87,271.15,rocks,1
243.89,239.2,island,16
257.31,232.53,island,6
268.05,255.35,kelp_forest,7
227.9,260.57,danger,12
295.11,243.76,abyss,9
251.39,249.01,kelp_forest,11
249.98,267.49,abyss,10
248.16,240.94,strong_current,1
271.93,257.88,strong_current,18
244.95,212.16,abyss,4
274.88,224.14,kelp_forest,5
207.3,261.76,corals,9
239.46,223.26,danger,17
197.02,253.36,danger,3
300.02,248.68,abyss,16
286.98,240.0,fishing_ground,5
270.34,234.04,kelp_forest,16
221.05,267.58,fishing_ground,3
309.18,290.2,kelp_forest,15
229.63,253.98,strong_current,3
252.72,259.74,abyss,14
245.93,232.28,ice_hole,16
267.54,227.0,corals,17
256.1,245.96,fishing_ground,18
272.91,232.19,rocks,18
238.64,208.04,island,14
272.87,271.09,kelp_forest,18
237.35,264.61,danger,15
271.25,235.43,ice_hole,15
251.88,251.08,danger,6
275.5,276.02,rocks,15
254.59,249.86,ice_hole,18
249.79,229.03,fishing_ground,4
250.4,240.04,kelp_forest,8
273.68,283.69,rocks,15
212.48,249.97,abyss,3
254.01,267.12,corals,15
253.02,251.59,fishing_ground,13
296.81,237.61,corals,9
257.38,230.54,fishing_ground,2
298.35,263.63,corals,8
230.95,260.87,abyss,17
266.0,280.31,fishing_ground,13
256.43,224.64,ice_hole,1
211.28,266.5,island,2
271.19,267.79,ice_hole,15
221.49,236.72,corals,12
260.0,273.65,abyss,14
275.89,293.02,rocks,2
188.96,297.27,corals,18
212.94,263.58,corals,7
268.78,246.08,island,6
287.36,276.68,rocks,14
219.65,257.44,strong_current,8
243.17,283.48,kelp_forest,2
248.94,256.61,fishing_ground,17
261.67,257.96,island,5
260.21,265.29,rocks,14
272.16,238.17,fishing_ground,3
271.17,239.14,fishing_ground,5
282.55,294.1,corals,16
252.91,212.24,corals,18
254.88,247.58,rocks,17
