"IDHH","IDPERS","PH01B2X","PH01C","PH01EX","PH01F1","PH01F2","PH01F3","PH01F4","PH01F5","PH01F6","PH01F7","PH01F8","PH01F9","PH01F10","P01","P021","P022","P023","P024","P025","P026","P027","P031","P032","P033","P034","P035","P036","P037","P04","P05","P06","P071A","P072A","P073A","P074A","P075A","P076A","P077A","P078A","P079A","P0710A","P0711A","P0712A","P0713A","P0714","P0715","P081","P0811","P0812","P0813","P0814","P0815","P0816","P0817","P0818","P0819","P08110","P08111","P08112","P08113","P08114","P082","P0821","P0822","P0823","P0824","P0825","P0826","P0827","P0829","P08210","P08211","P08212","P08213","P08214","P083","P0831","P0837","P084","P0841","P0842","P0843","P0844","P0845","P0846","P0847","P0849","P08410","P08411","P08412","P08413","P08414","P085","P0851","P0853","P0854","P0857","P08512","P08514","P086","P0862","P0863","P0864","P0865","P0866","P0867","P0868","P0869","P08611","P08612","P087","P0871","P0872","P0873","P0874","P0875","P0876","P0877","P0878","P0879","P08710","P08711","P08712","P08713","P08714","P088","P0881","P0882","P0883","P0884","P0885","P0886","P0887","P0888","P0889","P08810","P08811","P08812","P08813","P08814","P089","P0891","P0892","P0893","P0894","P0895","P0896","P0897","P0898","P0899","P08911","P08912","P08913","P08914","P091A","P091BX","P092A","P092BX","P093A","P093BX","P094A","P094BX","P095A","P095BX","P096A","P096BX","P097A","P097BX","P098A","P098BX","P099A","P099BX","P0910A","P0910BX","P0911A","P0911BX","P0912AX","P0912BX","P0913A","P0913BX","P0914A","P0914BX","P0915A","P0915BX","P0916A","P0916BX","P0917A","P0917BX","P0918A","P0918BX","P10","P11","P121","P122","P1221","P1222","P1223","P1225","P1226","P1227","P13","P14X","P151A","P151BX","P151C","P152A","P152BX","P152C","P153A","P153BX","P153C","P154A","P154BX","P154C","P155A","P155BX","P155C","P156A","P156BX","P156C","P157A","P157BX","P157C","P158A","P158BX","P158C","P1611A","P1611BX","P1611C","P1612A","P1612BX","P1612C","P1613A","P1613BX","P1613C","P1614A","P1614BX","P1614C","P1615A","P1615BX","P1615C","P1616A","P1616BX","P1616C","P1617A","P1617BX","P1617C","P1618A","P1618BX","P1618C","P1621A","P1621BX","P1621C","P1622A","P1622BX","P1622C","P1623A","P1623BX","P1623C","P1624A","P1624BX","P1624C","P1625A","P1625BX","P1625C","P1626A","P1626BX","P1626C","P1627A","P1627BX","P1627C","P1628A","P1628BX","P1628C","P171A","P171BX","P171C","P172A","P172BX","P172C","P173A","P173BX","P173C","P174A","P174BX","P174C","P175A","P175BX","P175C","P176A","P176BX","P176C","P177A","P177BX","P177C","P178A","P178BX","P178C","P18A","P188","P189","P1810","P1811","P1812","P1813","P1814","P1815","P1816","P19","P202X","P21X","P22","P23","P241X","P242X","P243","P25X","P261","P262","P263","P2645X","P266","P267","P268","P2610","P2611","P2612","P27X","P281","P282","P30B","P31","P311","P312","P313","P33X","P34X","P351X","P352X","P37BX","ALT_GR1","ALT_GR2","ALT_GR3","ALT_GR4","PF19A","VO_TE_N","BERUF_N","STAT","BAA_N2","P32_2X","KINDALL","KIND","KINDALT","TYPPART","IDPART","TYPPART1","IDPART1","ET_PART","ANZ_ETPT","HPST80","GPST80"
1,1,50,2,35,1,99997,99997,99997,99997,99997,99997,99997,99997,99997,3,2,2,2,4,1,2,4,3,3,2,8,2,2,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,3,2,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,1,99996,1,1,99996,1,1,99996,1,1,99996,1,1,99996,1,1,99996,1,2,99995,99995,1,99996,1,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,5,1,2,2,2,2,2,2,1,2,1,22,8,5,1,20,1,99995,1800,2,2,2,2,2,2,2,2,1,2,2340,1,1,6,2,99997,99997,99997,99997,99997,99997,99997,99997,5,11,5,11,1,1,3,4,1,99995,99995,99995,99995,3,99995,3,99995,99995,99995,12382.498618899112,1.700462703140849
2,1,64,2,4,1,99997,99997,99997,99997,99997,99997,99997,99997,99997,1,4,2,2,4,4,2,3,8,1,1,8,8,1,1,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,99997,3,300,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,2,2,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,5,1,2,2,2,2,2,2,2,2,7,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,5,13,5,13,3,4,7,12,1,99995,99995,99995,99995,3,99995,3,99995,99995,99995,9831.264233131,1.3501070072922166
3,1,75,1,1,1,99997,99997,99997,99997,99997,99997,99997,99997,99997,3,2,2,2,2,1,1,4,4,5,3,5,3,2,8,1,99999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,3,2,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,1,2400,2,2,99995,99995,2,99995,99995,1,480,2,1,600,2,2,99995,99995,2,99995,99995,2,99995,99995,1,2400,2,2,99995,99995,2,99995,99995,1,240,2,2,99995,99995,2,1,2,2,1,2,2,2,1,2,4,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,1,2,1,2,1,360,4,99997,1,6,14,6,16,2,3,3,4,2,2728,99995,99995,99995,1,2,1,2,3,1,2849.058471447974,0.39125525621867485
3,2,75,2,1,2,1,99997,99997,99997,99997,99997,99997,99997,99997,3,4,3,2,2,2,2,4,8,5,3,4,4,4,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,5,2,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,2,2,2,2,2,1,2,2,2,7,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,6,14,6,16,3,4,7,12,4,99995,99995,99995,99995,1,1,1,1,2,1,14530.346566223672,1.9954221809370811
4,1,39,1,1,1,99997,99997,99997,99997,99997,99997,99997,99997,99997,3,3,1,1,1,2,1,2,3,1,5,5,3,6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,2,120,1,99997,1,99997,1,99997,2,2,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,4,1,2,2,2,2,2,2,2,2,1,5,12,4,2,45,40,99995,2100,1,2,2,2,2,2,2,2,2,2,2340,5,1,10,2,99997,99997,99997,99997,99997,99997,99997,99997,4,8,4,8,1,1,4,5,1,99995,99995,99995,99995,1,2,1,2,3,1,7607.865447996465,1.044772290552624
4,2,30,2,1,2,1,99997,99997,99997,99997,99997,99997,99997,99997,3,4,2,2,1,2,1,4,8,2,3,4,2,4,8,2,2,2,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,2,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,4,1,2,2,2,2,2,2,2,2,7,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,4,7,4,7,3,4,7,14,1,99995,99995,99995,99995,1,1,1,1,1,1,8139.264606685167,1.117748228417975
4,3,6,2,2,4,4,1,99997,99997,99997,99997,99997,99997,99997,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,1,1,99991,99991,99991,99991,99991,99991,99991,99991,2,1,6,3,99995,3,99995,99995,99995,,
4,4,4,1,2,4,4,5,1,99997,99997,99997,99997,99997,99997,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,99991,1,1,99991,99991,99991,99991,99991,99991,99991,99991,2,1,4,3,99995,3,99995,99995,99995,,
5,1,42,1,1,1,99997,99997,99997,99997,99997,99997,99997,99997,99997,3,2,2,1,1,2,1,4,6,4,6,6,4,7,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,3,2,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,4,1,1,2,1,2,2,2,1,2,1,5,12,4,2,99999,18,99995,1800,1,2,2,2,2,2,2,2,2,2,2100,5,5,6,2,99997,99997,99997,99997,99997,99997,99997,99997,4,9,4,9,1,1,4,5,2,99995,99995,99995,99995,1,2,1,2,3,1,5418.656296967887,0.7441327649388751
5,2,42,2,1,2,1,99997,99997,99997,99997,99997,99997,99997,99997,3,4,1,1,1,1,1,4,8,6,7,7,6,6,8,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,1,99997,3,2,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,2,99995,99995,4,2,2,2,2,2,2,2,2,1,7,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,99997,2,99997,99997,99997,99997,99997,99997,99997,99997,4,9,4,9,3,4,7,14,6,99995,99995,99995,99995,1,1,1,1,1,1,6955.375438635947,0.9551671987825254
