id_hhx;id_persx;persx;berichtsjahr;alterx;ha3x;ha6x;ha81x;ha9x;he201;he20_kibetr1x;he20_kibetr2x;he211x;he212;he221x;he222;he23_sprachfx;he233x;he23_kunstx;he236x;he237x;he238x;he239;he2311x;pfb_ausgef;pa2x;pa3;pa4x;pb5x;pb6;pc7x;pc8;pc9;pc10x;pc11x;pc12x;pc13;pc15bx;pc16;pc171;pc172x;pc18x;pc19;pc20;pc21_fruehx;pc21_spaetx;pc22;pd231;pd232x;pd24x;pe25bx;pf26;pf27x;pf28x;pf29x;pf30;pg311;pg312;pg313;pg314;pg315;pg316;pg317;pg318;pg319;pg3110;pg3111;pg3112;pg3113;pg3114;pg3115;pg32;ph33a;ph33bx;ph34;ph35x;ph361a;ph361bx;ph362a;ph362bx;ph363a;ph363bx;ph364a;ph364bx;ph365a;ph365bx;ph366a;ph366bx;ph367a;ph367bx;ph368a;ph368bx;ph369a;ph369bx;ph3610a;ph3610bx;ph3611a;ph3611bx;ph3612a;ph3612bx;ph3613a;ph3613bx;ph3614a;ph3614bx;ph3615a;ph3615bx;pi37;pi381;pi382;pi383;pi384;pi385;pi386;pi387;pi388;pi389;pi3810;pi3811;pi3812;pi3813;pi3814;pi3815;pi3816;pi391;pi392;pi393;pi394;pi395;pi396;pi397;pi398;pi399;pi3910;pi3911;pi3912;pi401;pi402;pi403;pi404;pi405;pi406;pi411;pi412;pj42x;pj43x;pj44x;pj45;pj46;hrf_p80;hrf_k80;alter_gr1;alter_gr2;soz;erw_typ;erw_part;isced;bildung_typ;pf29_typ;migr
00001;00001_01;1;2022;31;2;1;1;1;;;;;;;;;;;;;;;;1;2;1;2;2;1;1;1;1;43;30;9;2;7214;3;1;10;10;2;2;-2;-2;5;2;-2;-2;9;2;-2;8;13;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;7;9;9;2;2;3;3;5;9;9;9;3;3;3;3;3;3;2;3;1;5;5;4;4;1;1;3;2;3;1;3;5;1;1;2;8;8;2;2;3;1;2;7072.0699029;;4;4;3;1;1;6;3;6;1
00001;00001_02;2;2022;31;1;2;2;2;;;;;;;;;;;;;;;;1;2;2;-2;4;1;1;1;1;40;35;5;1;7134;4;1;30;30;3;2;-2;-2;5;2;-2;-2;9;2;-2;8;4;-2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;8;9;9;1;2;1;2;5;4;2;9;2;1;1;2;2;5;3;1;2;4;5;4;2;1;2;1;1;4;2;1;5;1;3;2;5;6;2;1;2;2;-2;6084.7443343;;4;4;3;1;1;4;2;3;1
00001;00001_03;3;2022;70;2;6;1;2;;;;;;;;;;;;;;;;1;5;2;-2;8;1;1;1;2;6;0;16;2;5411;4;1;5;5;1;2;-2;-2;5;2;-2;-2;2;2;-2;8;14;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;5;3;3;9;3;3;3;3;9;9;9;3;3;3;4;3;3;2;3;2;3;5;2;3;3;3;3;3;5;1;9;1;1;2;2;8;8;2;2;4;1;1;8026.6686629;;6;6;6;3;-2;7;3;6;1
00002;00002_01;1;2022;36;1;1;1;1;;;;;;;;;;;;;;;;1;2;2;-2;4;1;1;1;1;40;30;8;2;2632;4;1;17;35;1;2;-2;-2;5;2;-2;-2;6;2;-2;8;13;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;6;3;9;3;3;2;3;4;9;9;9;2;2;2;9;3;9;3;4;3;5;5;1;1;3;3;1;3;4;4;4;2;1;4;1;3;4;1;1;2;2;-2;2506.4510144;;4;4;3;1;2;6;3;6;2
00002;00002_02;2;2022;39;2;2;1;1;;;;;;;;;;;;;;;;1;2;2;-2;4;1;1;-1;2;10;10;5;2;6212;4;1;1;5;1;1;1;2;4;2;-2;-2;1;2;-2;7;2;-2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;9;4;9;2;3;4;4;3;9;9;9;3;3;4;9;4;9;3;5;5;5;5;1;4;4;2;4;2;5;3;2;2;1;4;1;5;4;1;1;2;2;-2;2252.6735269;;4;4;3;2;1;3;2;2;2
00002;00002_03;3;2022;16;1;3;1;1;;;;;;;;;;;;;;;;1;1;2;-2;6;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;1;1;1;-2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;5;9;9;9;2;2;9;9;4;9;9;3;3;2;9;9;9;2;3;3;4;5;3;3;2;2;2;2;3;3;2;4;1;2;1;4;5;1;1;1;2;-2;3264.4143845;;2;2;5;3;-2;1;1;1;2
00003;00003_01;1;2022;48;1;1;2;2;;;;;;;;;;;;;;;;1;2;2;-2;4;1;2;1;1;40;40;5;1;5132;4;1;15;20;1;2;-2;-2;4;2;-2;-2;5;2;-2;2;2;-2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;1;1;2;-2;2;-2;2;-2;1;1;2;-2;2;-2;2;-2;2;-2;2;-2;7;2;9;2;1;2;3;9;9;9;2;2;1;3;3;3;2;2;2;3;3;2;4;2;2;3;2;2;4;2;5;2;1;9;4;4;5;2;2;3;2;-2;3950.1608222;;5;5;4;1;3;2;1;2;1
00003;00003_02;2;2022;46;2;2;1;1;;;;;;;;;;;;;;;;1;2;2;-2;10;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;1;3;-2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;1;1;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;7;4;9;3;2;3;4;9;9;9;3;2;2;3;3;3;2;4;2;3;3;4;2;2;3;2;2;2;3;2;5;4;1;5;4;5;5;2;2;2;2;-2;3952.8584106;;5;5;8;3;1;2;1;2;1
00003;00003_03;3;2022;23;1;3;1;1;;;;;;;;;;;;;;;;1;1;2;-2;6;1;1;2;2;18;40;4;1;3114;4;2;-2;-2;3;2;-2;-2;5;2;-2;-2;2;1;3;8;1;-2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-1;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;1;1;2;-2;2;-2;2;-2;2;-2;2;-2;5;9;9;9;3;3;2;3;3;2;2;3;2;2;9;2;2;3;2;2;1;3;2;2;2;4;2;2;2;4;2;2;1;2;3;5;7;2;1;2;2;-2;2048.6341942;;3;3;5;3;-2;3;2;1;1
00003;00003_04;4;2022;16;2;3;1;1;;;;;;;;;;;;;;;;1;1;2;-2;6;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;1;6;1;-2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;-2;-2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;2;-2;8;9;9;9;3;4;3;9;3;9;3;3;3;3;3;2;2;4;3;2;4;4;3;2;3;4;2;2;3;2;2;3;1;3;4;5;7;2;1;2;2;-2;4141.9258558;;2;2;5;3;-2;2;1;1;1
